Адр;Знчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;Адр;Знчн
2F4;0631;2F4;0000;000;0000;000;0000;0000;004;0100;;
2F4;0631;2F5;0631;2F4;0631;000;02F4;0000;004;0100;;
2F5;0200;2F6;0200;2F5;0200;000;02F5;0000;004;0100;;
2F6;1205;2F7;1205;2F6;1205;000;02F6;0000;004;0100;;
2F7;2F40;2F8;2F40;2F7;0040;000;0040;0000;004;0100;;
2F8;F0FD;2F6;F0FD;2F8;F0FD;000;FFFD;0000;004;0100;;
2F6;1205;2F7;1205;2F6;1205;000;02F6;0000;004;0100;;
2F7;2F40;2F8;2F40;2F7;0040;000;0040;0000;004;0100;;
2F8;F0FD;2F6;F0FD;2F8;F0FD;000;FFFD;0000;004;0100;;
2F6;1205;2F7;1205;2F6;1205;000;02F6;0000;004;0100;;
2F7;2F40;2F8;2F40;2F7;0040;000;0040;0000;004;0100;;
2F8;F0FD;2F6;F0FD;2F8;F0FD;000;FFFD;0000;004;0100;;
2F6;1205;2F7;1205;2F6;1205;000;02F6;0040;004;0100;;
2F7;2F40;2F8;2F40;2F7;0040;000;0040;0040;000;0000;;
2F8;F0FD;2F9;F0FD;2F8;F0FD;000;02F8;0040;000;0000;;
2F9;1204;2FA;1204;2F9;1204;000;02F9;00ED;000;0000;;
2FA;7F0A;2FB;7F0A;2FA;000A;000;000A;00ED;001;0001;;
2FB;F00B;2FC;F00B;2FB;F00B;000;02FB;00ED;001;0001;;
2FC;0680;2FD;0680;2FC;0680;000;02FC;ED00;009;1001;;
2FD;E8F6;2FE;E8F6;631;ED00;000;FFF6;ED00;009;1001;631;ED00
2FE;1205;2FF;1205;2FE;1205;000;02FE;ED40;009;1001;;
2FF;2F40;300;2F40;2FF;0040;000;0040;0040;001;0001;;
300;F0FD;301;F0FD;300;F0FD;000;0300;0040;001;0001;;
301;A8F2;302;A8F2;631;ED00;000;FFF2;ED00;009;1001;;
302;1204;303;1204;302;1204;000;0302;EDEC;009;1001;;
303;7F0A;304;7F0A;303;000A;000;000A;EDEC;009;1001;;
304;F002;305;F002;304;F002;000;0304;EDEC;009;1001;;
305;EAEE;306;EAEE;631;EDEC;000;FFEE;EDEC;009;1001;2F4;0632
;                                 ;;;;;;;;;;631;EDEC
306;CEEF;2F6;CEEF;306;02F6;000;FFEF;EDEC;009;1001;;
2F6;1205;2F7;1205;2F6;1205;000;02F6;ED40;009;1001;;
2F7;2F40;2F8;2F40;2F7;0040;000;0040;0040;001;0001;;
2F8;F0FD;2F9;F0FD;2F8;F0FD;000;02F8;0040;001;0001;;
2F9;1204;2FA;1204;2F9;1204;000;02F9;00EF;001;0001;;
2FA;7F0A;2FB;7F0A;2FA;000A;000;000A;00EF;001;0001;;
2FB;F00B;2FC;F00B;2FB;F00B;000;02FB;00EF;001;0001;;
2FC;0680;2FD;0680;2FC;0680;000;02FC;EF00;009;1001;;
2FD;E8F6;2FE;E8F6;632;EF00;000;FFF6;EF00;009;1001;632;EF00
2FE;1205;2FF;1205;2FE;1205;000;02FE;EF40;009;1001;;
2FF;2F40;300;2F40;2FF;0040;000;0040;0040;001;0001;;
300;F0FD;301;F0FD;300;F0FD;000;0300;0040;001;0001;;
301;A8F2;302;A8F2;632;EF00;000;FFF2;EF00;009;1001;;
302;1204;303;1204;302;1204;000;0302;EFE4;009;1001;;
303;7F0A;304;7F0A;303;000A;000;000A;EFE4;009;1001;;
304;F002;305;F002;304;F002;000;0304;EFE4;009;1001;;
305;EAEE;306;EAEE;632;EFE4;000;FFEE;EFE4;009;1001;2F4;0633
;                                 ;;;;;;;;;;632;EFE4
306;CEEF;2F6;CEEF;306;02F6;000;FFEF;EFE4;009;1001;;
2F6;1205;2F7;1205;2F6;1205;000;02F6;EF40;009;1001;;
2F7;2F40;2F8;2F40;2F7;0040;000;0040;0040;001;0001;;
2F8;F0FD;2F9;F0FD;2F8;F0FD;000;02F8;0040;001;0001;;
2F9;1204;2FA;1204;2F9;1204;000;02F9;00E5;001;0001;;
2FA;7F0A;2FB;7F0A;2FA;000A;000;000A;00E5;001;0001;;
2FB;F00B;2FC;F00B;2FB;F00B;000;02FB;00E5;001;0001;;
2FC;0680;2FD;0680;2FC;0680;000;02FC;E500;009;1001;;
2FD;E8F6;2FE;E8F6;633;E500;000;FFF6;E500;009;1001;633;E500
2FE;1205;2FF;1205;2FE;1205;000;02FE;E540;009;1001;;
2FF;2F40;300;2F40;2FF;0040;000;0040;0040;001;0001;;
300;F0FD;301;F0FD;300;F0FD;000;0300;0040;001;0001;;
301;A8F2;302;A8F2;633;E500;000;FFF2;E500;009;1001;;
302;1204;303;1204;302;1204;000;0302;E5E3;009;1001;;
303;7F0A;304;7F0A;303;000A;000;000A;E5E3;009;1001;;
304;F002;305;F002;304;F002;000;0304;E5E3;009;1001;;
305;EAEE;306;EAEE;633;E5E3;000;FFEE;E5E3;009;1001;2F4;0634
;                                 ;;;;;;;;;;633;E5E3
306;CEEF;2F6;CEEF;306;02F6;000;FFEF;E5E3;009;1001;;
2F6;1205;2F7;1205;2F6;1205;000;02F6;E540;009;1001;;
2F7;2F40;2F8;2F40;2F7;0040;000;0040;0040;001;0001;;
2F8;F0FD;2F9;F0FD;2F8;F0FD;000;02F8;0040;001;0001;;
2F9;1204;2FA;1204;2F9;1204;000;02F9;000A;001;0001;;
2FA;7F0A;2FB;7F0A;2FA;000A;000;000A;000A;005;0101;;
2FB;F00B;307;F00B;2FB;F00B;000;000B;000A;005;0101;;
307;E8EC;308;E8EC;634;000A;000;FFEC;000A;005;0101;634;000A
308;0100;309;0100;308;0100;000;0308;000A;005;0101;;
309;0000;631;0100;308;0100;000;0308;000A;005;0101;;
631;EDEC;632;0100;631;EDEC;000;0308;000A;005;0101;;